"Index","Points:0","Points:1","Points:2","T"
72218,0.19117,0.11907000000000001,0.049349000000000004,626.46
72233,0.19649,0.10814000000000001,0.063114,621.84
72248,0.1953,0.10764000000000001,0.052400999999999996,619.5
72301,0.18861,0.11169000000000001,0.038459,611.34
72305,0.18789,0.11245999999999999,0.042085000000000004,611.19
72322,0.18532,0.10807,0.06790700000000001,609.5
72203,0.2027,0.051262,0.084277,624.49
72285,0.19034,0.049117,0.076169,613.89
72303,0.18825,0.049127,0.072017,611.82
72308,0.18705,0.04263,0.068453,611.66
72313,0.18709,0.05145,0.086639,609.34
72315,0.18644000000000002,0.043111000000000003,0.097834,609.74
72334,0.18478,0.044911,0.088788,607.37
72365,0.18161,0.043116,0.09991900000000001,603.77
49793,0.20153,-0.014165,0.057649,626.96
49809,0.20172,-0.021352,0.05419500000000001,625.27
49843,0.19563,-0.011267000000000001,0.06166900000000001,620.99
49901,0.18784,-0.012833,0.065945,612.23
49917,0.18647,-0.019477,0.052190999999999994,609.37
49918,0.1854,-0.0091649,0.053798,609.15
49930,0.18358,-0.017098,0.056546000000000006,606.49
49936,0.18291,-0.0071143000000000005,0.058985,605.39
49805,0.20268,-0.036316,0.079582,625.45
49810,0.20202,-0.048091,0.080989,624.56
49831,0.19735,-0.028419,0.08604400000000001,623.23
49873,0.19262,-0.03022,0.076137,615.14
49890,0.19035,-0.045793,0.09176799999999999,612.61
49892,0.18994,-0.043142,0.08617999999999999,612.97
49905,0.18797,-0.054941,0.08768200000000001,610.74
49955,0.1809,-0.023011,0.07473099999999999,603.14
49818,0.20042000000000001,-0.048782,0.05645700000000001,624.33
49850,0.19471,-0.058783,0.054034000000000006,620.4
49857,0.19397,-0.050339999999999996,0.0516,619.52
49896,0.18847,-0.036025,0.054278,613.11
49907,0.18704,-0.039011000000000004,0.057616999999999995,610.88
49952,0.18126,-0.052913,0.041250999999999996,603.82
49966,0.1797,-0.067602,0.052435,601.41
49972,0.17958,-0.045206,0.055616,601.0
49863,0.19297,0.00075188,0.048393,617.7
72207,0.19913,0.0117,0.054317,625.53
72254,0.19242,0.0091581,0.040666,619.77
72262,0.19367,0.019452,0.038773,618.87
72267,0.19242,0.014268000000000001,0.037798000000000005,618.06
72269,0.19078,0.0077215,0.03481,617.9
72284,0.19107000000000002,0.023541,0.031663,614.21
72311,0.18702,0.024817,0.035684,610.0
72314,0.18609,0.008968799999999999,0.043493000000000004,610.56
72328,0.18500999999999998,0.012812,0.053823,609.15
1664,0.19755,-0.091406,-0.090002,633.19
1726,0.20002999999999999,-0.088407,-0.082136,622.34
1756,0.19003,-0.086737,-0.095468,622.08
1789,0.19212,-0.081662,-0.087948,614.59
1818,0.18764,-0.075174,-0.094066,609.89
1820,0.18761,-0.07669,-0.091697,609.84
1846,0.18495999999999999,-0.078858,-0.084631,607.07
1866,0.18220999999999998,-0.074064,-0.09058,603.91
49783,0.2018,-0.053403,0.023375,628.81
49786,0.20309000000000002,-0.058575999999999996,0.027601999999999998,628.17
49798,0.20219,-0.054952,0.033224000000000004,626.85
49800,0.19901,-0.05651900000000001,0.019704,627.13
49817,0.19894,-0.054583000000000007,0.030325,624.96
49837,0.19688,-0.050631,0.014663999999999998,621.9
49864,0.19141,-0.06630499999999999,0.020703,618.06
49866,0.19237,-0.06790399999999999,0.031122000000000004,616.7
72228,0.1945,0.06504700000000001,0.008705200000000001,623.45
72256,0.1928,0.074611,0.0045548,619.8
72360,0.18247,0.07041499999999999,0.017421000000000002,605.42
72364,0.18174,0.076834,0.0095225,604.11
72367,0.18134,0.08351499999999999,0.0041783,603.56
72377,0.18018,0.066326,0.011285,602.21
21016,0.20069,0.040954000000000004,-0.085775,627.14
21025,0.19909000000000002,0.023763,-0.096345,625.91
21050,0.19602999999999998,0.02798,-0.10004,621.65
21051,0.19571,0.040572000000000004,-0.093955,621.73
21057,0.19548,0.023873,-0.10205,620.83
21058,0.19523,0.022918,-0.10128999999999999,620.76
21059,0.19605999999999998,0.030172000000000004,-0.087063,621.13
21077,0.1943,0.023055000000000003,-0.075398,618.05
21096,0.19092,0.030398,-0.08899,615.74
21105,0.18975999999999998,0.045133,-0.093598,614.27
1713,0.20346,-0.046764,-0.11315,623.83
1715,0.20232,-0.024651,-0.11127000000000001,623.19
1724,0.20052,-0.040303,-0.11504,621.64
1736,0.19884000000000002,-0.027555,-0.11927,620.64
1742,0.19833,-0.032401,-0.10397999999999999,620.5
1745,0.19839,-0.040612,-0.1096,619.71
1825,0.18645,-0.032825,-0.12154000000000001,609.76
1523,0.22782,-0.050527999999999997,-0.074437,644.85
1527,0.22654000000000002,-0.047622000000000005,-0.037067,645.57
1541,0.22683000000000003,-0.05368099999999999,-0.055123,642.81
1545,0.22638000000000003,-0.027288999999999997,-0.057,642.22
1553,0.22569,-0.033811,-0.063502,642.17
1557,0.22421,-0.050595,-0.057430999999999996,640.49
1561,0.22366999999999998,-0.039781,-0.044596,641.4
1593,0.21806,-0.057897000000000004,-0.071482,639.1
1621,0.21381999999999998,-0.052059,-0.040249,636.36
1625,0.21481999999999998,-0.058662,-0.061496,635.46
1535,0.22721999999999998,-0.081197,-0.060463,643.79
1538,0.22580999999999998,-0.071146,-0.07338,643.28
1551,0.22589,-0.071129,-0.07916799999999999,641.98
1563,0.22401999999999997,-0.079127,-0.056159,641.39
1570,0.22225,-0.090086,-0.059896000000000005,640.25
1579,0.22250999999999999,-0.090765,-0.074802,639.71
1582,0.22005,-0.07216499999999999,-0.06858600000000001,640.11
1588,0.22111999999999998,-0.091994,-0.06763200000000001,639.03
1591,0.2192,-0.075258,-0.070243,639.25
1595,0.21936999999999998,-0.095696,-0.057083,638.03
20242,0.22234,0.10703,-0.070377,692.16
20253,0.20548000000000002,0.11911,-0.048801,689.49
20257,0.21114000000000002,0.12255999999999999,-0.039557,688.17
