"active","origId","typeId","origProcId","d","Ygas","rho","Yliquid","Cp","dTarget","nParticle","age","YH2O(l)","mass0","T","Ysolid","tTurb","UTurb:0","UTurb:1","UTurb:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,200,-1,16,1e-05,0,1000,1,4544.6,0,4.0909e+05,0.0095826,1,5.236e-13,484.55,0,0.00018476,3.1247,-0.67185,2.6405,360.31,-0.48139,2.2979,1.7,0.020064,-0.012184
1,146,-1,16,1e-05,0,1000,1,4341.9,0,4.0903e+05,0.0096824,1,5.236e-13,435.22,0,1.208e-06,-0.83884,0.4558,1.0453,349.32,0.75678,0.49018,1.6958,0.022613,-0.033184
1,191,-1,16,1e-05,0,1000,1,4449.9,0,4.0903e+05,0.0095968,1,5.236e-13,465.86,0,0.0005363,-12.705,-7.7784,-9.2759,343.12,-6.385,-8.3404,1.6781,0.023585,-0.021819
1,158,-1,16,1e-05,0,1000,1,4554.7,0,4.0903e+05,0.0096589,1,5.236e-13,486.26,0,4.7611e-06,2.7582,-0.4241,0.8294,361.43,-2.6417,-0.29906,1.694,0.011613,-0.014742
1,242,-1,16,1e-05,0,1000,1,4395.8,0,8.1819e+05,0.0094918,1,5.236e-13,452.21,0,0.00045173,-5.864,-4.83,-0.90555,347.89,-3.7613,-0.41217,1.6935,0.011294,-0.030873
1,75,-1,16,1e-05,0,1000,1,4359.7,0,4.0891e+05,0.0098325,1,5.236e-13,441.31,0,0.00013246,3.9975,-1.8536,-0.036993,337.6,0.83002,-5.3825,1.7821,0.015771,-0.028501
1,24,-1,16,1e-05,0,1000,1,4358.4,0,8.1769e+05,0.0099322,1,5.236e-13,440.88,0,0.00061425,-1.9195,1.0559,7.7965,349.23,1.9697,7.8577,1.6826,0.019184,-0.031705
1,125,-1,16,1e-05,0,1000,1,4422,0,8.1794e+05,0.0097231,1,5.236e-13,459.17,0,0.00056948,-10.589,-4.8872,-1.313,342.22,-3.3288,-0.76357,1.6751,0.014455,-0.032479
1,201,-1,16,1e-05,0,1000,1,4384.9,0,8.1819e+05,0.0095825,1,5.236e-13,449.08,0,0.00058654,0.067641,0.074051,-0.0046576,352.53,0.90218,0.48342,1.6809,0.023551,-0.027686
1,97,-1,16,1e-05,0,1000,1,4354.4,0,8.1794e+05,0.0097816,1,5.236e-13,439.55,0,0.00023123,0.23108,3.6193,0.58856,347.89,4.5076,3.2237,1.7773,0.014638,-0.021277
1,206,-1,16,1e-05,0,1000,1,4423.4,0,4.0909e+05,0.0095719,1,5.236e-13,459.52,0,0.00069597,5.1841,-3.73,1.8691,359.99,-2.6306,2.3062,1.6767,0.016479,-0.025664
1,264,-1,16,1e-05,0,1000,1,4546.4,0,4.0916e+05,0.0094497,1,5.236e-13,484.86,0,0.00023883,-3.397,0.55208,-0.64764,355.17,2.6022,-0.8311,1.661,0.019603,-0.019645
1,205,-1,16,1e-05,0,1000,1,4373.3,0,8.1819e+05,0.0095739,1,5.236e-13,445.62,0,0.00059982,1.8112,-2.7295,1.7587,352.62,-1.5459,1.8557,1.667,0.02272,-0.033286
1,123,-1,8,1e-05,0,1000,1,4415,0,4.0897e+05,0.0097732,1,5.236e-13,457.39,0,0.00054653,10.21,6.3065,4.4806,362.26,7.814,4.5217,1.6743,0.014362,-0.032481
1,52,-1,48,1e-05,0,1000,1,4317,0,8.1769e+05,0.0098887,1,5.236e-13,425.81,0,0.00053232,5.4551,0.063269,2.6223,351.19,0.98102,2.6527,1.6592,0.036125,-0.030132
1,120,-1,16,1e-05,0,1000,1,4317.6,0,4.0897e+05,0.0097283,1,5.236e-13,426.05,0,0.00037946,-3.5032,-2.375,5.0431,344.23,0.74626,4.8993,1.6516,0.015542,-0.043868
1,14,-1,16,1e-05,0,1000,1,4431.3,0,8.1769e+05,0.0099658,1,5.236e-13,461.49,0,0.00033164,6.9239,0.42808,-6.015,354.42,1.7161,-5.2731,1.8075,0.014103,-0.010132
1,277,-1,16,1e-05,0,1000,1,4366.3,0,4.0916e+05,0.0094318,1,5.236e-13,443.44,0,7.7954e-05,10.58,-2.2309,8.4518,354.07,3.1719,3.4094,1.652,0.014221,-0.037862
1,391,-1,16,1e-05,0,1000,1,4438.8,0,4.0923e+05,0.0092234,1,5.236e-13,463.28,0,0.00010595,2.8152,-1.0245,-9.2063,357.91,6.0615,-3.7561,1.6626,0.015403,-0.033943
1,308,-1,16,1e-05,0,1000,1,4484.1,0,8.1832e+05,0.0093683,1,5.236e-13,473.24,0,4.3134e-05,1.2009,-2.369,0.074783,355.85,0.9031,-4.241,1.6442,0.016829,-0.016993
1,135,-1,16,1e-05,0,1000,1,4509.7,0,4.0897e+05,0.009696,1,5.236e-13,478.28,0,0.00015825,2.7637,-9.9313,-3.0982,361.43,-5.6008,-1.2232,1.6457,0.023311,-0.015001
1,237,-1,16,1e-05,0,1000,1,4417.5,0,4.0909e+05,0.0094982,1,5.236e-13,458.02,0,0.00025063,2.5895,-3.7494,-0.5674,356.08,-1.5409,0.23695,1.6546,0.019673,-0.028778
1,253,-1,16,1e-05,0,1000,1,4618.2,0,4.0916e+05,0.0094706,1,5.236e-13,496.09,0,0.0004442,1.0554,-4.5539,-6.7075,362.63,-3.1331,-5.6983,1.6415,0.013161,-0.016799
1,292,-1,16,1e-05,0,1000,1,4548.2,0,8.1832e+05,0.0094033,1,5.236e-13,485.16,0,0.00045529,-4.2972,0.22968,4.208,355.66,1.0581,4.3178,1.6395,0.020162,-0.01799
1,7,-1,16,1e-05,0,1000,1,4684.7,0,4.0879e+05,0.0099852,1,5.236e-13,505.02,0,0.00047071,5.3118,4.0359,3.9429,367.62,5.2247,4.577,1.6482,0.017281,-0.0083019
1,313,-1,16,1e-05,0,1000,1,4399,0,4.0916e+05,0.0093549,1,5.236e-13,453.12,0,0.0001552,1.9687,1.7918,0.18016,355.52,2.0417,2.9804,1.639,0.016506,-0.033781
1,220,-1,16,1e-05,0,1000,1,4422.6,0,4.0909e+05,0.0095368,1,5.236e-13,459.33,0,0.00017886,-2.0165,-7.8793,1.453,352.34,-7.0688,2.1094,1.6392,0.010522,-0.02855
1,51,-1,16,1e-05,0,1000,1,4486.6,0,8.1781e+05,0.0098758,1,5.236e-13,473.75,0,0.00041599,-0.97478,-0.82687,2.246,356.67,0.46437,3.278,1.6413,0.018163,-0.021935
1,83,-1,16,1e-05,0,1000,1,4393,0,4.0891e+05,0.0098138,1,5.236e-13,451.43,0,7.9872e-05,-4.8299,-1.4019,-0.57257,348.06,3.1126,6.2359,1.7569,0.0080413,-0.023441
